"날짜","작성자","챕터","문제 (빈칸은 (_____)로 표기)","빈칸 뜻","힌트","서술형인가요?","중복되나요?","정답","","","","","","","","","","","","","","","","","","",""
"2021-01-09","juepark","voyager","Of course, one must always (_____) self-doubt and fear but that is a small price to pay","극복하다","1단어","FALSE","FALSE","confront","","","","","","","","","","","","","","","","","","",""
"2021-01-09","juepark","voyager","I am a member of a small group --Explores like you,
but we (_____) challenges, problems to be solved
--Technological, biological, social, even artistic.","찾다","2단어","FALSE","FALSE","seek out","","","","","","","","","","","","","","","","","","",""
"2021-01-09","juepark","voyager","I feel like I'm ready to (_____).","폭발하다","1단어","FALSE","FALSE","explode","","","","","","","","","","","","","","","","","","",""
"2021-01-09","juepark","voyager","We'll (_____) this together.","끝내다, 이겨내다","2단어","FALSE","FALSE","get through","","","","","","","","","","","","","","","","","","",""
"2021-01-09","juepark","voyager","Doc : Which is best? How do you (_____) that?","결정하다","1단어","FALSE","FALSE","determine","","","","","","","","","","","","","","","","","","",""
"2021-01-09","juepark","voyager","Neelix : I never (_____), really.","해석 : 깊게 생각해본 적 없어요.","3단어","FALSE","FALSE","thought about it","","","","","","","","","","","","","","","","","","",""
"2021-01-09","juepark","voyager","상황마다 다르죠","-","문장쓰기","TRUE","FALSE","I guess every situation is little different.","","","","","","","","","","","","","","","","","","",""
"2021-01-09","juepark","voyager","We're scanning for microfractures. I don't see the (_____).","해석 : 미세균열 찾는데 그게 무슨 상관이죠?","1단어","FALSE","FALSE","relevance","","","","","","","","","","","","","","","","","","",""
"2021-01-09","juepark","itcrowd","Roy, can I (_____) something? Are we now loitering? ","확인하다","1단어","FALSE","FALSE","clarify","","","","","","","","","","","","","","","","","","",""
"2021-01-09","juepark","itcrowd","Jen lacks basic computer skills, like thinking that IT (_____) ""internet things.""","-를 -라고(-가 -를 의미한다고)","2단어","FALSE","FALSE","stands for","","","","","","","","","","","","","","","","","","",""
"2021-01-09","juepark","itcrowd","-(singing) WE DON'T NEED NO EDUCATION.
-YES YOU DO. You've just used (_____).","이중부정","3단어","FALSE","FALSE","a double negative","","","","","","","","","","","","","","","","","","",""
"2021-01-09","juepark","itcrowd","It's the talk of the office.","-","문장해석","TRUE","FALSE","사무실의 화제죠.","","","","","","","","","","","","","","","","","","",""
"2021-01-09","juepark","itcrowd","And then that just tensed me (_____).","바로 다시","3단어","FALSE","FALSE","right up again","","","","","","","","","","","","","","","","","","",""
"2021-01-09","juepark","itcrowd","눈물이 다 나네","-","문장쓰기","TRUE","FALSE","I've got tears in my eyes.","","","","","","","","","","","","","","","","","","",""
"2021-01-09","juepark","itcrowd","-How are things? -Well, you know, (_____).","그저그래","2단어","FALSE","FALSE","not brilliant","","","","","","","","","","","","","","","","","","",""
"2021-01-13","juepark","voyager","She's an (_____) girl.","영리한","1단어","FALSE","FALSE","astute","","","","","","","","","","","","","","","","","","",""
"2021-01-13","juepark","voyager","(_____), Captain, I'm her godfather.","외람된 말씀이지만","4단어","FALSE","FALSE","With all due respect","","","","","","","","","","","","","","","","","","",""
"2021-01-13","juepark","voyager","Give us a hand?","-","해석","TRUE","FALSE","좀 도와주실래요?","","","","","","","","","","","","","","","","","","",""
"2021-01-13","juepark","voyager","We (_____) worse.","-을 뚫고 비행하다","have + p.p + 전치사","FALSE","FALSE","have flown through","","","","","","","","","","","","","","","","","","",""
"2021-01-13","juepark","voyager","Captain : but the safety of this crew is (_____).
We haven't had the best of luck with the Borg.","최우선이다. 첫번째 의무이다.","3단어","FALSE","FALSE","my first responsibility","","","","","","","","","","","","","","","","","","",""
