Num,Yours,Answer,Score,Means
63,"again, No spaces","
again, No spaces",0,"A: 또, 다시
B: 공백없이"
64,capable of,capable of,1,-할 수 있다.
65,,used to torment,0,괴롭히곤 했다.
66,How come,How come,1,어째서
67,I thought I'd walk and clear my head.,I thought I’d go for a walk and clear my head.,0,영어작문
68,is never solution,is never a solution,0,해결책이 아니야
69,,pipe down,0,입 다물다.
70,wax,wax,1,전체해석: 귀가 먹었니?
71,crudle,curdle,0,굳다
72,is fond of,is fond of,1,-를 좋아하다
73,,pretext,0,"구실, 핑계"
74,,you’re up,0,시작해요
75,self-centered person,self-centred person,0,"이기적인 사람, 
자기 중심적인 사람"
76,right behind,slipped right by,0,-의 옆을 쌩하고 지나가다.
77,came up with,came up with,1,-를 제안하다.
78,We all do,We all do,1,다들 좋아하지.
